title,slug,url,metasearch_url,description,short_description,media_url,group_info,created,updated,ontology_terms,license,category
STRING,string,https://string-db.org/,https://string-db.org/api/xml/expasy,"STRING is the knowledgebase of known and predicted protein-protein interactions. It includes direct (physical) and indirect (functional) associations derived from various sources, such as genomic context, high-throughput experiments, (conserved) co-expression and the literature. The platform provides tools for network integration, visualization, and gene set enrichment analysis.

💡  STRING compiles millions of high-confidence interactions across more than 12,000 organisms.",Protein-protein interaction networks and enrichment analysis,https://www.youtube.com/watch?v=o208DwyFbNk&list=PLjnQS7gxY4Ar6VukbDHp0q0atJAFDWkRX,"<p>Developed by the <a href=""https://www.sib.swiss/christian-von-mering-group"" rel=""noopener noreferrer nofollow"">Bioinformatics Systems Biology group</a> and supported by the <a href=""https://www.sib.swiss/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow"">SIB Swiss Institute of Bioinformatics</a>.</p><p>STRING is an&nbsp;<a href=""https://elixir-europe.org/platforms/data/core-data-resources"" rel=""noopener noreferrer nofollow""><u>ELIXIR Core Data Resource</u></a> and a <a href=""https://globalbiodata.org/scientific-activities/global-core-biodata-resources/"" rel=""noopener noreferrer nofollow"">Global Core Biodata Resource</a>. </p>",2020-06-18T13:59:48+00:00,2024-11-07T13:22:53+00:00,"Molecular interactions, pathways and networks, Enrichment analysis, Protein interactions, Training material, Network visualisation, Pathway or network, Protein sequence, Protein family name, Disease name, GO concept ID, PubMed ID, Protein name, Pathway ID (KEGG), Query and retrieval, Textual format, XML, TSV, PNG, SVG",CC BY 4.0,"Proteins & Proteomes, Systems Biology"
OrthoDB,orthodb,https://www.orthodb.org/,https://data.orthodb.org/current/expasysearch,"The most comprehensive catalog of evolutionary and functional annotations of hierarchical groups of orthologs. Visualization of hierarchical relations facilitates navigation on the levels of orthology, from more finely-resolved to more general groups of orthologs.

💡OrthoDB covers more than 160M genes from Eukaryotes, Prokaryotes, and Viruses.",Ortholog evolutionary and functional annotations,https://www.youtube.com/watch?v=I_x_qnCIpgk,"<p>Developed by the <a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.sib.swiss/evgeny-zdobnov-evgenia-kriventseva-group"" tt-mode=""url"">Computational Evolutionary Genomics group</a> and supported by the <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" tt-mode=""url"">SIB Swiss Institute of Bioinformatics</a>.</p>",2020-06-18T13:59:48+00:00,2024-10-16T11:49:55+00:00,"Function analysis, Virology, Phylogenetic tree visualisation, Phylogenetic data, Query and retrieval, Phylogenetic analysis, Evolutionary biology, Gene name, RefSeq accession, InterPro accession, UniProt accession, GenBank accession, Ensembl gene ID, FASTA-like (text), Sequence similarity search, Phylogenetics, Textual format, JSON, TSV, Sequence annotation, Sequence annotation",CC BY 4.0,Evolution & Phylogeny
OMA,oma,https://omabrowser.org/oma/home/,https://omabrowser.org/oma/expasy/search,"OMA is a project that aims to identify orthologs among publicly available, complete genomes. With many hundreds of genomes analyzed to date, OMA is one of the largest projects of its kind.

💡OMA covers almost 25M proteins from almost 3000 genomes.",Orthology inference among complete genomes,https://www.youtube.com/watch?v=R48EGH2fOH4,"<p>Developed by the <a href=""https://www.sib.swiss/christophe-dessimoz-natasha-glover-group"" rel=""noopener noreferrer nofollow"">Comparative Genomics group</a> and supported by the <a href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow"">SIB Swiss Institute of Bioinformatics</a>.</p>",2020-06-18T13:59:48+00:00,2024-10-16T12:08:05+00:00,"Sequence similarity search, Protein function prediction, Training material, Phylogenetic tree visualisation, Phylogenetic data, Textual format, OrthoXML, newick, phyloXML, Phylogenetic data, Textual format, OrthoXML, newick, phyloXML, Function analysis, Evolutionary biology, Phylogenetics, Query and retrieval, Sequence annotation, Phylogenetic analysis, Query and retrieval, Sequence annotation, Phylogenetic analysis, Mapping, Taxonomic classification, UniProt accession, NCBI taxonomy ID, FASTA-like (text), FASTA-like (text)",CC BY 4.0,Evolution & Phylogeny
SwissLipids,swisslipids,https://www.swisslipids.org/#/,http://www.swisslipids.org/php/expasy.php,"SwissLipids is the knowledgebase that links mass spectrometry-based lipid identifications to curated knowledge of lipid structures, metabolic reactions, enzymes and interacting proteins. It provides a framework for the integration of lipid and lipidomics data with biological knowledge and models.

💡 SwissLipids contains information on more than 590,000 lipid structures from over 640 lipid classes.",Knowledge resource for lipids,https://www.youtube.com/watch?v=dxB1jZhk5rk,"<p>Developed by the <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/alan-bridge-group"" tt-mode=""url"">Swiss-Prot</a> and <a target=""_self"" rel=""nofollow noopener noreferrer"" href=""https://www.sib.swiss/vital-it"" tt-mode=""url"">Vital-IT Computational Biology</a> groups and supported by the <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/database-software-tools/sib-resources"" tt-mode=""url"">SIB Swiss Institute of Bioinformatics</a>. Created with support from SystemsX.ch and in collaboration with LipidX.</p>",2020-06-18T13:59:49+00:00,2024-11-08T13:34:17+00:00,"Enzymes, Lipids, Molecular interactions, pathways and networks, Small molecules, Query and retrieval, Visualisation, Membrane and lipoproteins, ChEBI ID, Compound ID (HMDB), LIPID MAPS ID, UniProt accession, Cell type ontology ID, GO concept ID (cellular component), ID mapping, Reaction ID (Rhea), TSV, PubMed ID, Mass spectrometry data",CC BY 4.0,"Proteins & Proteomes, Lipidomics"
MetaNetX,metanetx,https://www.metanetx.org/,https://www.metanetx.org/cgi-bin/mnxweb/expasy,"MetaNetX.org allows to access, analyse and manipulate genome-scale metabolic networks as well as biochemical pathways. It consistently integrates data from various public resources and makes the data accessible in a standardized format using a common namespace. Models can be interactively compared, analysed (e.g. detection of dead-end metabolites/reactions, flux balance analysis or simulation of reaction/gene knockouts), manipulated and exported. Users can upload their own metabolic models.",Metabolic network repository & analysis,https://www.youtube.com/watch?v=iHutD-YsWIw,"<p>Developed by the <a target=""_self"" rel=""nofollow noopener noreferrer"" href=""https://www.sib.swiss/vital-it"" tt-mode=""url""><span>Vital-IT Computational Biology</span> group</a>.</p>",2020-06-18T13:59:48+00:00,2025-01-09T15:39:49+00:00,"Cheminformatics, Enzymes, Chemical redundancy removal, ChEBI ID, EC number, Metabolic network modelling, ID mapping, Deposition",CC BY 4.0,"Proteins & Proteomes, Metabolomics"
VenomZone,venom-zone,https://venomzone.expasy.org/,https://web.expasy.org/cgi-bin/sib_geneva_search?resource=venomzone,"VenomZone is a free web resource that provides information on venoms from six animal taxa (snakes, scorpions, spiders, cone snails, sea anemones and insects), as well as on their targets. Information can be browsed through pages on taxonomy, activity and venom protein families and all these pages link to related venom/toxin protein information from the manually curated UniProtKB/Swiss-Prot database.",Portal to venom protein UniProtKB entries,,"<p>Developed by the <a href=""https://www.sib.swiss/alan-bridge-group"" rel=""noopener noreferrer nofollow"">Swiss-Prot group</a> and supported by the&nbsp;<a href=""https://www.sib.swiss"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-18T13:59:49+00:00,2025-02-13T15:59:26+00:00,"Toxicology, Drug discovery, Gene and protein families, Protein function comparison, Taxonomy, Protein family report, Query and retrieval, Annotated URI, Protein modifications, Pharmacology, Pharmacology, Small molecules, Protein sequence alignment, UniProt keyword, UniProt keyword, UniProt ID, UniProt ID",CC BY 4.0,Proteins & Proteomes
Cellosaurus,cellosaurus,https://www.cellosaurus.org/,https://web.expasy.org/cgi-bin/sib_geneva_search?resource=cellosaurus,"Cellosaurus is a knowledge resource on cell lines. It attempts to describe all cell lines used in biomedical research, including immortalized cell lines, naturally immortal cell lines (stem cell lines), finite life cell lines when those are distributed and widely used, vertebrate cell lines with an emphasis on human, mouse and rat cell lines, invertebrate (insect and tick), and plant cell lines.

💡 Cellosaurus contains information on more than 150,000 cell lines used in biomedical research.",Knowledge resource on cell lines,https://www.youtube.com/watch?v=tWeH0Zq-hn0&list=PLoCxWrRWjqB3WgehHFcPHzjXy_EXDDQnk&index=4&t=7s,"<p>Developed by the <a href=""https://www.sib.swiss/amos-bairoch-lydie-lane-group"" rel=""noopener noreferrer nofollow"">CALIPHO group</a> and supported by the <a href=""https://www.sib.swiss/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow"">SIB Swiss Institute of Bioinformatics</a><a href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow"">.</a><br>Cellosaurus is an <a href=""https://elixir-europe.org/platforms/data/core-data-resources"" rel=""noopener noreferrer nofollow"">ELIXIR Core Data Resource</a> and a <a href=""https://globalbiodata.org/scientific-activities/global-core-biodata-resources/"" rel=""noopener noreferrer nofollow"">Global Core Biodata Resource</a>.</p>",2020-06-18T13:59:48+00:00,2024-11-11T09:35:48+00:00,"Cell line report, Sample collections, Query and retrieval, Training material, Online course, Sequence variations, Sequence signature data, Sequence signature data, Cell line name, PubMed ID, ChEBI ID, NCBI taxonomy ID, Data submission, annotation and curation, Text annotation, Deposition, Textual format, XML, Gene name",CC BY 4.0,Systems Biology
V-pipe,v-pipe,https://cbg-ethz.github.io/V-pipe/,,"V-pipe is the bioinformatics pipeline that integrates various open-source software packages for assessing viral genetic diversity from next-generation sequencing (NGS) data derived from intra-host virus populations.

💡 V-pipe enables reliable and comparable viral pathogen genomics and epidemiological studies and facilitates clinical diagnostics of viruses.",Viral genomics pipeline,https://www.youtube.com/watch?v=qHEUVJZsgE4,"<p>Developed by the <a href=""https://www.sib.swiss/niko-beerenwinkel-group"" rel=""noopener noreferrer nofollow"">Computational Biology group</a> and supported by the <a href=""https://www.sib.swiss/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow"">SIB Swiss Institute of Bioinformatics</a>.</p>",2020-06-22T10:05:02+00:00,2024-09-25T07:35:28+00:00,"Virology, Training material, Sequence variations, Online course, Haplotype mapping, Haplotype mapping, Workflows, Nucleic acid sequence, Nucleic acid sequence, Public health and epidemiology, Infectious disease, Molecular evolution, Variant calling, Variant calling, Nucleic acid sequence analysis, GZIP format, FASTQ, VCF, CSV",Apache License,"Population genetics, Genomics"
Arlequin,arlequin,https://cmpg.unibe.ch/software/arlequin35/,,"Arlequin provides the average user in population genetics with quite a large set of basic methods and statistical tests, in order to extract information on genetic and demographic features of a collection of population samples. The graphical interface is designed to allow users to rapidly select the different analyses they want to perform on their data. One can explore the data, and analyze several times the same data set from different perspectives, with different selected options.",An integrated software for population genetics data analysis,,"<p>Developed by the <a href=""https://www.sib.swiss/laurent-excoffier-group"" rel=""noopener noreferrer nofollow"">Computational and Molecular Population Genetics group</a>.</p>",2020-06-22T10:05:21+00:00,2024-08-21T13:32:18+00:00,"Genetic mapping, Statistics and probability, Statistics and probability, DNA sequence, Scatter plot plotting, Selection detection",,Population genetics
UniLectin,unilectin,https://unilectin.unige.ch/,,UniLectin is a platform integrating information regarding non-enzymatic carbohydrate-binding proteins usually referred to as lectins with the prospect of building and refining a structural and functional classification of these proteins. It includes the reference Lectin3D database of 3D structures curated from the PDB.,Structural and functional classification of lectins,https://www.youtube.com/watch?v=eOxOf7i6DdU,"<p>Developed by the <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/frederique-lisacek-group"" tt-mode=""url"">Proteome Informatics group</a> and supported by the <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/database-software-tools/sib-resources"" tt-mode=""url"">SIB Swiss Institute of Bioinformatics</a><a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" tt-mode=""url"">.</a></p>",2020-06-22T12:10:25+00:00,2024-12-05T15:57:51+00:00,"Protein interactions, Carbohydrates, Carbohydrates, Query and retrieval, Expression data visualisation, Structure visualisation, Query and retrieval, Expression data visualisation, Structure visualisation, Database search results, Gene name, PDB ID, UniProt ID, Training material, Structure analysis, Service discovery, Textual format, JSON, RefSeq accession (protein), Taxonomic classification",CC BY 4.0,"Glycomics, Proteins & Proteomes"
UniCarb-DB,unicarb-db,https://unicarb-db.expasy.org,,UniCarb-DB stores data and information on glycan structures and associated fragment data characterised by LC-MS/MS strategies. It is annotated with high-quality datasets.,Glycan structures and associated mass spectrometry data,,"<p>Developed by the <a href=""https://www.sib.swiss/frederique-lisacek-group"" rel=""noopener noreferrer nofollow"">Proteome Informatics group</a>.</p>",2020-06-22T12:31:58+00:00,2023-06-02T08:17:49+00:00,"Proteomics experiment, Carbohydrates, Protein modifications, Structure analysis",CC BY 4.0,Glycomics
EPD,epd,https://epd.expasy.org/epd,,"EPD includes a knowledgebase with expert curation for quality-controlled information on experimentally defined promoters of higher organisms, as well as web-based tools for promoter analysis.",Eukaryotic Promoter Database,https://www.youtube.com/watch?v=WfeG6G9vOS8,"<p>Developed by the Computational Cancer Genomics group of <a target=""_self"" href=""https://www.sib.swiss/philipp-bucher-group"" tt-mode=""url"">Philipp Buche</a><a target=""_blank"" href=""https://www.sib.swiss/directory/person/philipp-bucher"" tt-mode=""url"">r</a>.</p>",2020-06-22T13:08:46+00:00,2024-07-18T11:28:24+00:00,"DNA transcription, Gene expression, Sequencing, Query and retrieval, EPD ID",CC BY 4.0,Genomics
TromER,tromer,https://epd.expasy.org/tromer/,,"The transcriptome analyser project aims to provide tools to determine and document all the transcribed parts of a genome. The transcribed parts are defined by analysing experimental evidence, like expressed sequence tags (EST) and other mRNA sequences.",Prediction of transcribed regions and splice junctions,,"<p>Developed by the Computational Cancer Genomics group of <a target=""_blank"" rel=""nofollow noopener noreferrer"" href=""https://www.sib.swiss/directory/person/philipp-bucher"" tt-mode=""url"">Philipp Bucher</a>.</p>",2020-06-22T13:22:48+00:00,2024-07-31T10:09:15+00:00,"Mapping, Splice site prediction",,"Genomics, Transcriptomics"
SwissTargetPrediction,swisstargetprediction,http://www.swisstargetprediction.ch/,,"SwissTargetPrediction is an online tool to predict the targets of bioactive small molecules in human and other vertebrates. This is useful to understand the molecular mechanisms underlying a given phenotype or bioactivity, to rationalize possible side-effects or to predict off-targets of known molecules.",Target prediction for bioactive small molecules,,"<p>Developed by the&nbsp;<a href=""https://www.sib.swiss/olivier-michielin-vincent-zoete-group"" rel=""noopener noreferrer nofollow""><u>Molecular Modelling group</u></a>&nbsp;and supported by the&nbsp;<a href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-22T13:38:35+00:00,2024-10-21T14:22:58+00:00,"Protein interactions, Drug development, Small molecules, Drug discovery, Protein-ligand interaction report, Structural similarity search, Structure similarity score, Compound ID (ChEMBL), UniProt accession, Chemical structure image, Protein name, Gene symbol, SMILES string, Textual format",Contact the team,"Proteins & Proteomes, Structural analysis, Medicinal chemistry"
SwissSimilarity,swisssimilarity,http://www.swisssimilarity.ch/,,"SwissSimilarity allows the rapid screening of small to very large-scale libraries of drugs, bioactive small molecules, commercially available compounds, and an ultra-large library of virtual compounds readily synthesizable from commercially available reagents. The virtual screening can be performed using molecular fingerprints, as well as superpositional or fast non-superpositional 3D shape similarity approaches.",Ligand-based virtual screening,,"<p>Developed by the&nbsp;<a href=""https://www.sib.swiss/olivier-michielin-vincent-zoete-group"" rel=""noopener noreferrer nofollow""><u>Molecular Modelling group</u></a>&nbsp;and supported by the&nbsp;<a href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-22T16:58:01+00:00,2024-10-21T14:39:11+00:00,"Structural similarity search, Small molecules, Drug discovery, Training material, Virtual screening, Structure similarity score, Chemical structure image, SMILES string",CC BY 4.0,Medicinal chemistry
SwissSidechain,swisssidechain,https://www.swisssidechain.ch/,,SwissSidechain is a structural and molecular mechanics database of hundreds of non-natural amino acid side chains that can be used to study in-silico their insertion into natural peptides or proteins.,Database of non-natural amino acid side chains,,"<p>Developed by the&nbsp;<a href=""https://www.sib.swiss/olivier-michielin-vincent-zoete-group"" rel=""noopener noreferrer nofollow""><u>Molecular Modelling group</u></a>&nbsp;and supported by the&nbsp;<a href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-22T17:17:05+00:00,2024-10-21T13:53:15+00:00,"Molecular modelling, Side chain modelling, Design, Amino acid property, PDB ID, Mol2, Protein properties, Drug development, SMILES string, Amino acid property, PDB ID, Mol2, Protein properties, Drug development, SMILES string",Contact the team,"Medicinal chemistry, Structural analysis, Proteins & Proteomes"
